City,State,Property Type,Bedrooms,Bathrooms,Price (USD),Square Feet,Availability,Walk Score,Property Rating,Street Address,Property Name,Availability Date
Chicago,Illinois,Apartment,3,2,11056.28,644,Available,86,2.8,152 Johnson Crescent Suite 774,Edwards-Thomas Apartments,2025-12-25
Pittsburgh,Pennsylvania,House,1,3,1396.1,2058,Not Available,53,3.7,4570 Bryant Spur,Johnston-Wilson Apartments,2026-02-16
Dallas,Texas,Condo,2,3,9240.0,2043,Not Available,44,3.6,127 Sierra Trail Apt. 313,Blanchard-Juarez Apartments,2024-11-06
Dallas,Texas,House,4,1,7465.17,1173,Not Available,80,2.9,72401 Shawna Lodge,"Russell, Foster and Hernandez Apartments",2024-06-24
Austin,Texas,Townhouse,3,1,12741.86,2408,Not Available,90,3.7,40611 Jimmy Dam Suite 432,Richardson-Matthews Apartments,2025-04-03
San Diego,California,Apartment,4,3,8320.8,763,Not Available,66,4.0,73910 Laura Rue Suite 850,"Gonzales, Mccann and Ross Apartments",2025-03-18
Austin,Texas,Townhouse,2,1,8333.68,891,Not Available,91,5.0,86158 Robbins Parks,Ali Group Apartments,2024-10-13
Los Angeles,California,Condo,1,3,4379.91,1037,Not Available,53,4.3,234 Ramos Terrace Suite 900,Klein-Ochoa Apartments,2025-01-05
Philadelphia,Pennsylvania,Apartment,4,1,13069.28,1929,Not Available,56,2.9,089 Yolanda Divide,"Gray, Santana and Marquez Apartments",2025-01-29
Pittsburgh,Pennsylvania,Townhouse,1,2,4182.04,1552,Not Available,47,2.6,0646 Ward Station,"Wyatt, Gonzales and Frank Apartments",2024-09-14
San Diego,California,Apartment,1,2,2978.9,1602,Not Available,40,2.5,0058 Williams Greens,"Simpson, Ramos and Martinez Apartments",2026-02-01
Dallas,Texas,House,3,3,14920.41,2043,Available,91,4.1,572 Martin Corner Apt. 830,"Jordan, Riddle and Norman Apartments",2025-08-03
San Diego,California,Condo,3,1,4932.38,2431,Not Available,70,3.4,553 Walter Junctions Apt. 395,Valencia-Bauer Apartments,2025-02-24
Pittsburgh,Pennsylvania,Townhouse,2,3,4921.06,1693,Available,89,2.9,050 Watson Wall Suite 242,Graham-Soto Apartments,2025-11-29
NYC,New York,Townhouse,3,3,10389.26,1694,Available,48,3.4,9183 Jessica View Suite 454,Alexander PLC Apartments,2024-05-06
Chicago,Illinois,Townhouse,3,3,9176.91,2057,Not Available,76,3.7,02806 Johnny Crescent Suite 570,"Moore, Yu and Hunt Apartments",2025-09-22
Los Angeles,California,Apartment,4,1,13280.62,898,Available,100,4.7,23920 Weiss Forges,Ray-Griffin Apartments,2025-06-10
NYC,New York,Apartment,3,3,10042.15,2157,Available,77,4.9,62823 Smith Passage Suite 444,Moody Inc Apartments,2026-03-22
San Francisco,California,Condo,4,3,14292.94,2160,Not Available,75,2.6,9871 Steven Track,"Chang, Howe and Hardy Apartments",2025-07-30
